parm,intercept,slope,correlation
μ1,-0.05076364097404004,0.984029970789495,0.9736615177476579
μ2,-0.04367066607543831,0.9764981614943122,0.9715634540128677
μ3,-0.0504243311119457,0.9959781537900217,0.9683230086771231
s,0.0018542820769853808,1.0224005123593898,0.9610776530217446
