parm,intercept,slope,correlation
μ1,0.2730626919949973,0.7371052194763794,0.8351550605293367
μ2,0.25779045240462617,0.770779860320495,0.8660442836982166
μ3,-0.5959269834282157,1.3093164049857735,0.9559551044968457
s,-0.014407733246840181,0.8143324165808671,0.7432028378293206
